엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
K Street Food Udon,제품명,제조사,호주,국가,원산지:호주
K Street Food Udon,제품명,제품 종류,인스턴트 면 조리 식품,품목
K Street Food Udon,가격,가격,5.35호주달러,가격
K Street Food Udon,중량,중량,192g,중량
K Street Food Udon,맛,맛,쇼유맛 매운맛 김치맛 치킨맛,맛
울워스,Woolworths,제조사,한국,국가,원산지:한국
울워스,Woolworths,제품명,컵우동 G사 재패니즈 가쓰오 우동 볼,제품명,한국산
울워스,Woolworths,가격,가격,4.50호주달러,가격
울워스,Woolworths,중량,중량,222g,중량
울워스,Woolworths,제품명,생우동 진마이랑,제품명,중국산
울워스,Woolworths,가격,가격,7.95호주달러,가격
울워스,Woolworths,중량,중량,640g,중량
아마존,Amazon,제조사,한국,국가,원산지:한국
아마존,Amazon,제품명,컵우동 A사 우동 누들 볼,제품명,한국산
아마존,Amazon,가격,가격,41.99호주달러,가격
아마존,Amazon,중량,중량,276g,중량
아이허브,iHerb,제조사,중국,국가,원산지:중국
아이허브,iHerb,제품명,컵우동 카메 우동 스터-프라이 누들,제품명,중국산
아이허브,iHerb,가격,가격,10.61호주달러,가격
아이허브,iHerb,중량,중량,200g,중량
케이몰,K Mall,제조사,C사,국가,원산지:한국
케이몰,K Mall,제품명,누들 수프 볼,제품명,한국산
케이몰,K Mall,가격,가격,5.10호주달러,가격
케이몰,K Mall,중량,중량,215.5g,중량
케이몰,K Mall,제품명,아씨 해물맛 우동 컵-씨푸드 우동,제품명,한국산
케이몰,K Mall,가격,가격,5.10호주달러,가격
케이몰,K Mall,중량,중량,215.5g,중량
울워스,Woolworths,제조사,워카,국가,원산지:태국
울워스,Woolworths,제품명,워카 우동,제품명,태국산
울워스,Woolworths,가격,가격,3.00호주달러,가격
울워스,Woolworths,중량,중량,440g,중량
제트시티,ZetCiti,제조사,A사,국가,원산지:한국
제트시티,ZetCiti,제품명,텐푸라 우동 누들 수프,제품명,한국산
제트시티,ZetCiti,가격,가격,1.98호주달러,가격
제트시티,ZetCiti,중량,중량,111g,중량
미야코이치,Miyakoichi,제조사,미야코이치,국가,원산지:일본
미야코이치,Miyakoichi,제품명,미야코이치 후토 우동 키츠네,제품명,일본산
미야코이치,Miyakoichi,가격,가격,6.99호주달러,가격
미야코이치,Miyakoichi,중량,중량,670g,중량
