엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
호주,국가,시장규모,일반의약품시장,시장,시기:2024;규모:4550억호주달러
호주,국가,시장규모,비타민및미네랄시장,시장,시기:2024;규모:140억달러
호주,국가,수입액,호주대한국수입액,수입,HS코드:1302.19;시기:2019-2023;수입액:4억원
호주,국가,수입액,호주대글로벌수입액,수입,HS코드:1302.19;시기:2019-2023;수입액:1227억원
호주,국가,인구,인구,인구,시기:2024;인구:2598만명
호주,국가,면적,면적,면적,시기:2024;면적:769만㎢
호주,국가,GDP,GDP,경제,시기:2024;규모:1조79억달러
호주,국가,GDP1인당,GDP(1인당),경제,시기:2024;규모:66410달러
호주,국가,일반의약품시장,시장,시기:2024;규모:4550억호주달러
호주,국가,비타민및미네랄시장,시장,시기:2024;규모:140억달러
호주,국가,수입액,호주대한국수입액,수입,HS코드:1302.19;시기:2019-2023;수입액:4억원
호주,국가,수입액,호주대글로벌수입액,수입,HS코드:1302.19;시기:2019-2023;수입액:1227억원
호주,국가,홍삼분말시장,시장,시기:2024;주요제품:홍삼분말
호주,국가,홍삼분말수입규모,수입규모,수입,시기:2024;규모:호주홍삼분말수입규모
호주,국가,홍삼분말관련키워드,키워드,효능,에너지:82;면역력:35;스트레스:15;정신력:7;천연:89;프리미엄:63;건강:45;비건:38;유기농:30
호주,국가,유통채널,유통채널,채널,시기:2021;약국:48.0%;온라인:11.6%;하이퍼마켓:19.7%;전문점:12.8%
호주,국가,주요유통업체,케이티마트,유통업체,위치:멜버른;매장수:3;품목:한국식품,생활용품
호주,국가,주요유통업체,케이몰09,유통업체,위치:시드니;매장수:2;특징:한국산식료품,K-POP상품
호주,국가,주요유통업체,케미스트웨어하우스,유통업체,위치:호주전역;매장수:300;매출액:약45억달러
호주,국가,주요유통업체,프라이스라인파머시,유통업체,위치:호주전역;매장수:465;매출액:약27억달러
호주,국가,주요온라인쇼핑몰,아마존호주,온라인쇼핑몰,시기:2024;매출액:약10억달러
호주,국가,주요온라인쇼핑몰,이베이호주,온라인쇼핑몰,시기:2024;매출액:약101억달러
호주,국가,홍삼제품,베베펜,제품,원산지:미국;중량:90캡슐;가격:22910원
호주,국가,홍삼제품,에코테이스트,제품,원산지:중국;중량:60g;가격:30906원
호주,국가,홍삼제품,데어리랜드,제품,원산지:미국;중량:113g;가격:26975원
호주,국가,홍삼제품,벌크서플먼츠,제품,원산지:미국;중량:100g;가격:34387원
호주,국가,홍삼제품,포천인삼,제품,원산지:한국;중량:300g;가격:109510원
호주,국가,홍삼제품,뉴트리코스트,제품,원산지:미국;중량:240캡슐;가격:33766원
호주,국가,홍삼제품,베스트내추럴,제품,원산지:미국;중량:60캡슐;가격:18880원
호주,국가,홍삼제품,위스콘신인삼,제품,원산지:미국;중량:60캡슐;가격:44254원
호주,국가,홍삼제품,호바흐,제품,원산지:미국;중량:200캡슐;가격:62873원
호주,국가,홍삼제품,레드파낙스,제품,원산지:호주;중량:240g;가격:26975원
호주,국가,홍삼제품,코리안파낙스,제품,원산지:한국;중량:240정;가격:46089원
호주,국가,홍삼제품,진생엑스트랙트,제품,원산지:미국;중량:60g;가격:30132원
