엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
호주,국가,수출국,홍삼음료,품목,시기:2024년
홍삼음료,품목,수입,호주,국가,시기:2024년
홍삼음료,품목,생산,한국,국가,시기:2024년
홍삼음료,품목,수입액,호주,국가,연도:2023,수입액:111억 원
홍삼음료,품목,시장규모,호주,국가,연도:2024,시장규모:약 1.7조 원
홍삼음료,품목,시장규모,호주,국가,연도:2023,시장규모:약 1.7조 원
홍삼음료,품목,유통채널,약국,유통채널,점유율:48.0%
홍삼음료,품목,유통채널,온라인,유통채널,점유율:11.6%
홍삼음료,품목,유통채널,전문점,유통채널,점유율:12.8%
홍삼음료,품목,유통채널,하이퍼마켓/슈퍼마켓,유통채널,점유율:19.7%
홍삼음료,품목,유통채널,기타,유통채널,점유율:7.9%
홍삼음료,품목,유통채널,온라인,유통채널,점유율:58.3%
홍삼음료,품목,유통채널,약국,유통채널,점유율:16.9%
홍삼음료,품목,유통채널,전문점,유통채널,점유율:4.5%
홍삼음료,품목,유통채널,하이퍼마켓/슈퍼마켓,유통채널,점유율:4.5%
홍삼음료,품목,유통채널,온라인,유통채널,점유율:19.7%
홍삼음료,품목,유통채널,기타,유통채널,점유율:7.9%
홍삼음료,품목,유통채널,약국,유통채널,점유율:48.0%
홍삼음료,품목,유통채널,전문점,유통채널,점유율:12.8%
홍삼음료,품목,유통채널,하이퍼마켓/슈퍼마켓,유통채널,점유율:19.7%
홍삼음료,품목,유통채널,온라인,유통채널,점유율:11.6%
홍삼음료,품목,유통채널,기타,유통채널,점유율:7.9%
홍삼음료,품목,생산,한국,국가,시기:2024년
홍삼음료,품목,포장,25mL 병,포장형태,적합성:호주 소비자 선호
홍삼음료,품목,유통기한,호주,국가,적합기간:12-24개월
홍삼음료,품목,가격대,호주,국가,가격:약 4.5-6.5호주달러
홍삼음료,품목,효능,면역력 증진,속성,효과
홍삼음료,품목,효능,피로 개선,속성,효과
홍삼음료,품목,효능,에너지 증진,속성,효과
홍삼음료,품목,효능,항산화,속성,효과
홍삼음료,품목,효능,혈액순환,속성,효과
홍삼음료,품목,효능,스트레스 완화,속성,효과
홍삼음료,품목,효능,집중력 향상,속성,효과
홍삼음료,품목,생산,한국,국가,시기:2024년
홍삼음료,품목,인증,HACCP,인증,적용
홍삼음료,품목,인증,FSSC 22000,인증,적용
홍삼음료,품목,인증,ISO 22000,인증,적용
홍삼음료,품목,인증,ACO,인증,적용
홍삼음료,품목,인증,NCO,인증,적용
홍삼음료,품목,원산지,한국,국가,표기
홍삼음료,품목,원산지,호주,국가,표기,비율:최소 20%
홍삼음료,품목,라벨,제품명,표기,필수
홍삼음료,품목,라벨,성분,표기,필수
홍삼음료,품목,라벨,영양정보,표기,필수
홍삼음료,품목,라벨,유통기한,표기,필수
홍삼음료,품목,라벨,원산지,표기,필수
홍삼음료,품목,라벨,보관방법,표기,필수
홍삼음료,품목,라벨,알레르기 유발성분,표기,필수
홍삼음료,품목,라벨,식품첨가물,표기,필수
홍삼음료,품목,라벨,경고문구,표기,필수
홍삼음료,품목,포장,포장전면 영양라벨,표기,권장
홍삼음료,품목,포장,포장전면 건강스타 등급,표기,권장
홍삼음료,품목,효능,면역력 증진,속성,효과
홍삼음료,품목,효능,피로 개선,속성,효과
홍삼음료,품목,효능,에너지 증진,속성,효과
홍삼음료,품목,효능,항산화,속성,효과
홍삼음료,품목,효능,혈액순환,속성,효과
홍삼음료,품목,효능,스트레스 완화,속성,효과
홍삼음료,품목,효능,집중력 향상,속성,효과
홍삼음료,품목,가격,경쟁력,적정가격대,약 4.5-6.5호주달러
홍삼음료,품목,마케팅,효능 강조,전략,효과적 홍보
홍삼음료,품목,마케팅,신뢰성 강조,전략,품질 및 안전성
홍삼음료,품목,포장,25mL 병,포장형태,적합성
홍삼음료,품목,용량,25mL,적합성,호주 시장 적합
홍삼음료,품목,유통기한,12-24개월,적합기간,호주 기준
홍삼음료,품목,가격대,약 4.5-6.5호주달러,경쟁력,시장 적합
홍삼음료,품목,효능,면역력 증진,속성,효과
홍삼음료,품목,효능,피로 개선,속성,효과
홍삼음료,품목,효능,에너지 증진,속성,효과
