엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
홍콩,국가,시장규모,즉석차,품목,시장규모:4024억 원;연평균성장률:6.7%;시기:2023년
홍콩,국가,시장규모,비타민&미네랄,품목,시장규모:2782억 원;연평균성장률:4.0%;시기:2023년
홍콩,국가,HS CODE,2106.90,품목,수입액:2000억 원;시기:2023년
홍콩,국가,수입액,한국,국가,수입액:458억 원;시기:2023년
홍콩,국가,차문화,밀크티,차종,인기차:밀크티;특징:항산화;시기:2023년
홍콩,국가,차문화,보이차,차종,특징:항산화;시기:2023년
홍콩,국가,유통채널,오프라인,유통유형,점유율:94.0%;시기:2023년
홍콩,국가,유통채널,온라인,유통유형,점유율:6.0%;시기:2023년
홍콩,국가,유통채널,슈퍼마켓,유통유형,점유율:61%;시기:2022년
홍콩,국가,유통채널,백화점,유통유형,점유율:39%;시기:2022년
홍콩,국가,인삼액상차,유통채널,유통경로,오프라인,유통경로
홍콩,국가,인삼액상차,유통채널,유통경로,온라인,유통경로
홍콩,국가,인삼액상차,주요유통업체,업체명,소고(SOGO);하비니콜스(Harvey Nichols);웰컴(Wellcome);파크앤샵(ParknShop);매닝스(Mannings);HKTVmall
홍콩,국가,인삼액상차,주요유통업체,업체명,각 업체별 상세정보
홍콩,국가,인삼액상차,포장형태,포장,세련된 고급 포장;명절 특별포장
홍콩,국가,인삼액상차,가격,가격,약 80-100홍콩달러(14,132-17,665원)
홍콩,국가,인삼액상차,성분,성분,인삼,꿀,포도당,식물추출액 등
홍콩,국가,인삼액상차,시장인식,인식,브랜드 신뢰도 중요;효능, 맛 선호
홍콩,국가,인삼액상차,경쟁제품,경쟁제품,한국·중국 브랜드 인삼차,꿀차
홍콩,국가,인삼액상차,유사제품,유사제품,인삼농축액,홍삼,흑삼 농축액
홍콩,국가,인삼액상차,수입인증,인증,식품환경위생부(FEHD) 등록, HACCP, ISO22000 등
홍콩,국가,인삼액상차,유해물질기준,기준,멜라민 2.5mg/kg, 납 0.2mg/kg 등
홍콩,국가,인삼액상차,라벨링,라벨,중국어·영어 병행;영양성분 표기
홍콩,국가,인삼액상차,포장규정,규정,저염·무염·저당·무당 표시 가능
홍콩,국가,인삼액상차,시장트렌드,트렌드,전통차+현대 건강음료;친환경 규제 강화
홍콩,국가,인삼액상차,전시회,이벤트,홍콩 국제 차 박람회, 한국 차 전시회
홍콩,국가,인삼액상차,소비자선호,선호,브랜드 신뢰, 맛, 효능, 포장
홍콩,국가,인삼액상차,가격경쟁력,경쟁력,80홍콩달러 이하 추천
홍콩,국가,인삼액상차,시장성,시장성,젊은층·중산층 대상, 건강·편리성 강조
