엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
UAE,국가,수출국,한국,국가,시기:2024년
UAE,국가,수입국,한국,국가,시기:2024년
UAE,국가,수출시장,사우디아라비아,국가,시기:2022년
UAE,국가,수출시장,이란,국가,시기:2022년
UAE,국가,수출시장,오만,국가,시기:2022년
UAE,국가,수출시장,소말리아,국가,시기:2022년
UAE,국가,수출시장,중국,국가,시기:2022년
UAE,국가,수출시장,한국,국가,시기:2022년
UAE,국가,시장규모,전체,시장,시기:2023년,속성:시장규모:36100
UAE,국가,시장규모,스낵류,시장,시기:2023년,속성:시장규모:77
UAE,국가,시장규모,육류,시장,시기:2023년,속성:시장규모:52
UAE,국가,시장규모,베이커리및곡물류,시장,시기:2023년,속성:시장규모:49
UAE,국가,1인당식품소비액,전체,소비액,시기:2023년,속성:소비액:3796
UAE,국가,1인당식품소비액,스낵류,소비액,시기:2023년,속성:소비액:809
UAE,국가,1인당식품소비액,육류,소비액,시기:2023년,속성:소비액:543
UAE,국가,1인당식품소비액,베이커리및곡물류,소비액,시기:2023년,속성:소비액:515
UAE,국가,1인당식품소비량,전체,소비량,시기:2023년,속성:소비량:859
UAE,국가,1인당식품소비량,채소류,소비량,시기:2023년,속성:소비량:254
UAE,국가,1인당식품소비량,베이커리및곡물류,소비량,시기:2023년,속성:소비량:141
UAE,국가,1인당식품소비량,낙농품,소비량,시기:2023년,속성:소비량:116
UAE,국가,수출액,한국,수출품목,시기:2023년,속성:수출액:24795
한국,국가,수출,UAE,국가,시기:2023년
한국,국가,수입,UAE,국가,시기:2023년
한국,국가,수출품목,라면,품목,시기:2023년,속성:수출액:1502
한국,국가,수출품목,조제식료품(기타),품목,시기:2023년,속성:수출액:300
한국,국가,수출품목,차,품목,시기:2023년,속성:수출액:245
한국,국가,수출품목,비스킷류,품목,시기:2023년,속성:수출액:242
한국,국가,수출품목,아이스크림,품목,시기:2023년,속성:수출액:193
한국,국가,수출품목,라면,품목,시기:2019년,속성:수출액:13756
한국,국가,수출품목,조제식료품(기타),품목,시기:2019년,속성:수출액:0
한국,국가,수출품목,차,품목,시기:2019년,속성:수출액:0
한국,국가,수출품목,비스킷류,품목,시기:2019년,속성:수출액:0
한국,국가,수출품목,아이스크림,품목,시기:2019년,속성:수출액:0
UAE,국가,수입,한국,국가,시기:2022년
UAE,국가,수입품목,유채씨(기타),품목,시기:2022년,속성:수입액:889
UAE,국가,수입품목,조제식료품,품목,시기:2022년,속성:수입액:751
UAE,국가,수입품목,무첨가 우유·크림,품목,시기:2022년,속성:수입액:720
UAE,국가,수입품목,냉동 닭고기,품목,시기:2022년,속성:수입액:636
UAE,국가,수입품목,닭(기타),품목,시기:2022년,속성:수입액:584
UAE,국가,수입품목,밀(기타),품목,시기:2022년,속성:수입액:546
UAE,국가,수입품목,쌀(정미),품목,시기:2022년,속성:수입액:540
UAE,국가,수입품목,팜유(기타),품목,시기:2022년,속성:수입액:438
UAE,국가,수입품목,렌즈콩,품목,시기:2022년,속성:수입액:399
UAE,국가,수입품목,냉동 쇠고기,품목,시기:2022년,속성:수입액:396
한국,국가,수입,UAE,국가,시기:2022년
한국,국가,수출,UAE,국가,시기:2023년
한국,국가,수출품목,라면,품목,시기:2023년,속성:수출액:1502
한국,국가,수출품목,조제식료품(기타),품목,시기:2023년,속성:수출액:300
한국,국가,수출품목,차,품목,시기:2023년,속성:수출액:245
한국,국가,수출품목,비스킷류,품목,시기:2023년,속성:수출액:242
한국,국가,수출품목,아이스크림,품목,시기:2023년,속성:수출액:193
UAE,국가,수출,한국,국가,시기:2023년
UAE,국가,수입,한국,국가,시기:2023년
UAE,국가,수입품목,라면,품목,시기:2023년,속성:수입액:24
UAE,국가,수입품목,조제식료품(기타),품목,시기:2023년,속성:수입액:7
UAE,국가,수입품목,무첨가 우유·크림,품목,시기:2023년,속성:수입액:7
UAE,국가,수입품목,냉동 닭고기,품목,시기:2023년,속성:수입액:6
UAE,국가,수입품목,닭(기타),품목,시기:2023년,속성:수입액:6
UAE,국가,수입품목,밀(기타),품목,시기:2023년,속성:수입액:6
UAE,국가,수입품목,쌀(정미),품목,시기:2023년,속성:수입액:6
UAE,국가,수입품목,팜유(기타),품목,시기:2023년,속성:수입액:6
UAE,국가,수입품목,렌즈콩,품목,시기:2023년,속성:수입액:6
UAE,국가,수입품목,냉동 쇠고기,품목,시기:2023년,속성:수입액:6
