엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
네덜란드,국가,수출액,한국,국가,시기:2024년;국가:네덜란드
네덜란드,국가,수입액,한국,국가,시기:2024년;국가:네덜란드
네덜란드,국가,시장규모,식품,품목,시기:2023;시장규모:53.1억달러
네덜란드,국가,시장규모,육류,품목,시기:2023;시장규모:11억달러
네덜란드,국가,시장규모,베이커리및곡물류,품목,시기:2023;시장규모:8.7억달러
네덜란드,국가,시장규모,낙농품,품목,시기:2023;시장규모:8.2억달러
네덜란드,국가,1인당식품소비액,전체,품목,시기:2023;소비액:3012달러
네덜란드,국가,1인당식품소비액,육류,품목,시기:2023;소비액:624달러
네덜란드,국가,1인당식품소비액,베이커리및곡물류,품목,시기:2023;소비액:496달러
네덜란드,국가,1인당식품소비액,낙농품,품목,시기:2023;소비액:466달러
네덜란드,국가,수출품목,조제식료품,품목,시기:2023;수출액:391만달러
네덜란드,국가,수출품목,치즈(기타),품목,시기:2023;수출액:374만달러
네덜란드,국가,수출품목,감자,품목,시기:2023;수출액:281만달러
네덜란드,국가,수출품목,영유아조제식료품,품목,시기:2023;수출액:240만달러
네덜란드,국가,수출품목,파종용채소종자,품목,시기:2023;수출액:220만달러
한국,국가,수출액,네덜란드,국가,시기:2023;수출액:189만달러
한국,국가,수출품목,라면,품목,시기:2023;수출액:6067만달러
한국,국가,수출품목,김치,품목,시기:2023;수출액:738만달러
한국,국가,수출품목,조미김,품목,시기:2023;수출액:713만달러
한국,국가,수출품목,쌀가루조제식료품,품목,시기:2023;수출액:560만달러
한국,국가,수출품목,즉석면류,품목,시기:2023;수출액:6067만달러
한국,국가,수출액,네덜란드,국가,시기:2023;수출액:189만달러
네덜란드,국가,시장전망,식품,품목,시기:2023~2027;전망성장률:4.0%
네덜란드,국가,시장전망,육류,품목,시기:2023~2027;전망성장률:4.5%
네덜란드,국가,시장전망,베이커리및곡물류,품목,시기:2023~2027;전망성장률:4.1%
네덜란드,국가,시장전망,낙농품,품목,시기:2023~2027;전망성장률:5.2%
네덜란드,국가,온라인유통채널,Jumbo,유통업체,시기:2019~2023;성장률:6.2%
네덜란드,국가,온라인유통채널,Albert Heijn,유통업체,시기:2019~2023;성장률:6.2%
네덜란드,국가,오프라인유통채널,슈퍼마켓,유통업체,시기:2019;매장수:4724
네덜란드,국가,오프라인유통채널,할인점,유통업체,시기:2019;매장수:933
네덜란드,국가,오프라인유통채널,전문판매점,유통업체,시기:2019;매장수:11497
네덜란드,국가,유통브랜드,Albert Heijn,유통업체,점유율:25.1%
네덜란드,국가,유통브랜드,Jumbo,유통업체,점유율:18.5%
네덜란드,국가,유통브랜드,Lidl,유통업체,점유율:8.9%
네덜란드,국가,유통브랜드,Plus,유통업체,점유율:5.7%
네덜란드,국가,유통브랜드,Aldi,유통업체,점유율:5.6%
네덜란드,국가,포장재규제,포장재 저감·재사용·재활용,규칙,시기:2030년~2040년;목표감축률:5%~15%
네덜란드,국가,환경이슈,플라스틱폐기물,이슈,시기:2023;감소목표:40%감축(2026년까지)
네덜란드,국가,환경이슈,일회용품,이슈,시기:2026년까지 감축목표
네덜란드,국가,환경이슈,대체육시장,시장,시기:2023;성장률:20%이상
네덜란드,국가,환경이슈,플라스틱포장,이슈,시기:2024년;규제시행
한국,국가,수출액,네덜란드,국가,시기:2023;수출액:189.만달러
한국,국가,수출품목,라면,품목,시기:2023;수출액:6067만달러
한국,국가,수출품목,고추장,품목,시기:2023;수출액:265만달러
네덜란드,국가,수입액,한국,국가,시기:2023;수입액:11.4백만달러
네덜란드,국가,수입품목,한국산고추장,품목,시기:2023;수입액:265만달러
네덜란드,국가,수입품목,한국산김치,품목,시기:2023;수입액:738만달러
