엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
"한국","국가","수출국","일본","국가","수출액:6149만달러;연평균증가율:2.7"
"한국","국가","수출국","미국","국가","수출액:3999만달러;연평균증가율:28.2"
"한국","국가","수출국","네덜란드","국가","수출액:738만달러;연평균증가율:21.4"
"한국","국가","수출액","2023년","시기","수출액:15560만달러"
"일본","국가","수입국","한국","국가","수입액:6149만달러;증가율:2.7"
"미국","국가","수입국","한국","국가","수입액:3999만달러;증가율:28.2"
"네덜란드","국가","수입국","한국","국가","수입액:738만달러;증가율:21.4"
"2023년","시기","수출액","한국","품목","수출액:15560만달러"
"한국","품목","수출액","김치","품목","HS코드:2005.99-1000"
"일본","국가","수입액","한국","국가","수입액:6149만달러"
"미국","국가","수입액","한국","국가","수입액:3999만달러"
"캐나다","국가","수입액","한국","국가","수입액:12731만달러"
"캐나다","국가","수입액","한국","국가","증가율:0.1%"
"2023년","시기","수입액","한국","품목","수입액:12731만달러"
"한국","국가","수출액","2023년","시기","수출액:15560만달러"
"한국","기업","생산·수입·수출","Lucky Foods","기업","국적:한국;제품:김치;특징:비건,유기농,무방부제"
"일본","국가","생산·수입·수출","Hoshiyama","기업","국적:일본;제품:배추김치,깍두기"
"일본","기업","생산·수입·수출","Richouen","기업","국적:일본;제품:김치,냉면 조미료"
"일본","기업","생산·수입·수출","Toyoda Shouten","기업","국적:일본;제품:배추김치,연근김치"
"미국","국가","생산·수입·수출","Ocean's Halo","기업","국적:미국;제품:유기농김치,베트남채소절임"
"미국","기업","생산·수입·수출","Mother In Laws","기업","국적:미국;제품:수제김치,비건김치"
"독일","국가","생산·수입·수출","Fairment","기업","국적:독일;제품:비건김치,유기농김치"
"독일","기업","생산·수입·수출","Biona","기업","국적:영국;제품:유기농김치"
"독일","기업","생산·수입·수출","Old Friends","기업","국적:폴란드;제품:김치,비트김치"
"캐나다","국가","생산·수입·수출","The Owl's Mat Kimchi","기업","국적:캐나다;제품:배추김치"
"캐나다","기업","생산·수입·수출","Biona","기업","국적:영국;제품:유기농김치"
"캐나다","기업","생산·수입·수출","Myungga Sliced Cabbage Kimchi","기업","국적:한국;제품:배추김치"
"캐나다","기업","생산·수입·수출","Han-Ka","기업","국적:한국;제품:배추김치"
"일본","국가","수입·생산","종가집","기업","국적:한국;제품:배추김치,볶음김치"
"미국","국가","수입·생산","Lucky Foods","기업","국적:한국;제품:배추김치,비건김치"
"독일","국가","수입·생산","Fairment","기업","국적:독일;제품:비건김치"
"독일","국가","수입·생산","Old Friends","기업","국적:폴란드;제품:김치"
"캐나다","국가","수입·생산","T&T Kimchi","기업","국적:캐나다;제품:배추김치"
"캐나다","국가","수입·생산","Han-Ka","기업","국적:한국;제품:배추김치"
"미국","국가","수입·생산","Walmart","기업","국적:미국;제품:배추김치,볶음김치"
"독일","국가","수입·생산","dm","기업","국적:독일;제품:비건김치,유기농김치"
"캐나다","국가","수입·생산","Costco","기업","국적:미국;제품:배추김치,볶음김치"
