엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
"2024년 농식품 해외시장 품목조사 -대체식품 -",문서제목,관련,없음,없음,국가:미국;일자:2024년
"미국",국가,시장규모,식물성 단백질 기반 대체식품,시장,규모:56280만달러;연평균성장률:9.8%
"미국",국가,시장규모,육류 대체식품,시장,규모:13600만달러;연평균성장률:9.1%
"미국",국가,시장규모,유제품 대체식품,시장,규모:42680만달러;연평균성장률:10.1%
"미국",국가,배양육시장규모,배양육,시장,규모:1117톤;연평균성장률:0.3%
"미국",국가,배양육시장규모,배양육,시장,규모:55780만달러;비중:24.6%
"미국",국가,주요기업,Beyond Meat,기업,시장점유율:44.4%
"미국",국가,주요기업,Morningstar,기업,시장점유율:25.9%
"미국",국가,주요기업,Gardein,기업,시장점유율:16.0%
"한국",국가,시장진출,풀무원,기업,시장점유율:0.2%
"일본",국가,시장규모,식물성 단백질 기반 대체식품,시장,규모:2163.7백만달러;연평균성장률:11.3%
"일본",국가,시장규모,배양육,시장,규모:43.3톤;연평균감소:1.3%
"일본",국가,주요기업,Next Meats,기업,시장점유율:60.7%
"일본",국가,주요기업,Otsuka,기업,시장점유율:5.2%
"일본",국가,주요기업,Itoham,기업,시장점유율:1.5%
"독일",국가,시장규모,식물성 단백질 기반 대체식품,시장,규모:18800만달러;연평균성장률:28.6%
"독일",국가,배양육시장규모,배양육,시장,규모:19320만달러;연평균성장률:30.2%
"독일",국가,주요기업,Nestlé,기업,시장점유율:40.9%
"독일",국가,주요기업,LikeMeat,기업,시장점유율:33.9%
"싱가포르",국가,시장규모,식물성 단백질 기반 대체식품,시장,규모:5720만달러;연평균성장률:16.3%
"싱가포르",국가,배양육시장규모,배양육,시장,규모:21.74백만달러;연평균성장률:48.5%
"싱가포르",국가,주요기업,PSC Corp Ltd,기업,시장점유율:94.5%
"싱가포르",국가,주요기업,OmniFoods,기업,시장점유율:없음
"한국",국가,수출경로,풀무원,기업,시장점유율:없음
"유럽",국가,규제,EU,기관,신소재식품규정(EU 2015/2283)
"미국",국가,규제,FDA,기관,식품안전현대화법(FSMA),GRAS성분
"일본",국가,규제,일본농림수산성,기관,식물성단백 규격,곤충식품 규정
"싱가포르",국가,규제,싱가포르 식품청(SFA),기관,대체단백질 분류,배양육 승인절차
"독일",국가,규제,유럽연합(EU),기관,신소재식품 규정,곤충식품 규제
"미국",국가,규제,USDA-FSIS,기관,배양육 생산·라벨링 규정
"일본",국가,규제,일본농림수산성,기관,식물성단백 규격,곤충식품 규정
"유럽",국가,규제,EFSA,기관,배양육 안전성평가
"싱가포르",국가,규제,싱가포르 식품청(SFA),기관,대체단백질 안전성평가
"미국",국가,인증,FDA,기관,우유·치즈·버터·요거트 라벨링 권고
"일본",국가,인증,일본농림수산성,기관,식물성단백 규격,곤충식품 안전성평가
"독일",국가,인증,독일 식품안전청(BVL),기관,유기농·비건 인증
"싱가포르",국가,인증,싱가포르 식품청(SFA),기관,할랄 인증
"유럽",국가,인증,EFSA,기관,신소재식품 안전성평가
"미국",국가,인증,FDA,기관,GRAS 성분 승인
"일본",국가,인증,일본농림수산성,기관,식품표시법,GMO 규제
"독일",국가,인증,유럽연합(EU),기관,신소재식품 규정
"싱가포르",국가,인증,싱가포르 식품청(SFA),기관,대체단백질 안전성평가
"한국",국가,수출경로,풀무원,기업,미국·일본·유럽 수출
"미국",국가,수출경로,풀무원,기업,미국·유럽·아시아 수출
"일본",국가,수출경로,풀무원,기업,일본·아시아 수출
"유럽",국가,수출경로,한국산,기업,유럽시장 진출
"미국",국가,수출경로,한국산,기업,미국시장 진출
"싱가포르",국가,수출경로,한국산,기업,아시아시장 진출
"한국",국가,시장전략,차별화제품개발,기업,한국산 식물성 대체식품
"미국",국가,시장전략,현지인 맞춤형,기업,한국산 제품 현지화
"유럽",국가,시장전략,품질인증,기업,유럽 규제준수
"일본",국가,시장전략,전통재료 활용,기업,일본시장 맞춤형 제품
"싱가포르",국가,시장전략,혁신기술,기업,배양육·대체단백 신기술 활용
