엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
중국,국가,수출국,한국,국가,HS코드:1902.30-3000
미국,국가,수출국,한국,국가,HS코드:1902.30-0060
일본,국가,수출국,한국,국가,HS코드:1902.30-210
독일,국가,수출국,한국,국가,HS코드:1902.30-1030
중국,국가,수입국,한국,국가,HS코드:1902.30-3000
미국,국가,수입국,한국,국가,HS코드:1902.30-0060
일본,국가,수입국,한국,국가,HS코드:1902.30-210
독일,국가,수입국,한국,국가,HS코드:1902.30-1030
중국,국가,수출액,한국,국가,21545만달러
미국,국가,수출액,한국,국가,12659만달러
일본,국가,수출액,한국,국가,5797만달러
독일,국가,수출액,한국,국가,24155만달러
중국,국가,수입액,한국,국가,21608만달러
미국,국가,수입액,한국,국가,15652만달러
일본,국가,수입액,한국,국가,5947만달러
독일,국가,수입액,한국,국가,2281만달러
한국,국가,수출액,중국,국가,21545만달러
한국,국가,수출액,미국,국가,12659만달러
한국,국가,수출액,일본,국가,5797만달러
한국,국가,수출액,독일,국가,24155만달러
한국,국가,수입액,중국,국가,21608만달러
한국,국가,수입액,미국,국가,15652만달러
한국,국가,수입액,일본,국가,5947만달러
한국,국가,수입액,독일,국가,2281만달러
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
중국,품목,주요 수입품,라면,품목,HS코드:1902.30-3000
일본,품목,주요 수입품,라면,품목,HS코드:1902.30-210
미국,품목,주요 수입품,라면,품목,HS코드:1902.30-0060
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
한국,품목,주요 수입품,라면,품목,HS코드:1902.30-0060
한국,품목,주요 수입품,라면,품목,HS코드:1902.30-210
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
한국,품목,주요 수출품,라면,품목,HS코드:1902.30-1010
