엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
"중국",국가,"시장규모",음료시장,시장규모,"시기:2023;시장규모:3820억9200만달러"
"중국",국가,"수출액",한국산음료,수출액,"시기:2023;수출액:18894만달러"
"중국",국가,"수입액",한국산음료,수입액,"시기:2023;수입액:9192만달러"
"중국",국가,"주요 브랜드 점유율",Red Bull,브랜드 점유율,"2020-2023:5.1%"
"중국",국가,"주요 브랜드 점유율",Nongfu Spring,브랜드 점유율,"2020-2023:4.6%"
"중국",국가,"주요 브랜드 점유율",Master Kong,브랜드 점유율,"2020-2023:4.4%"
"중국",국가,"시장규모",음료시장,시장규모,"시기:2023;시장규모:5574억위안"
"중국",국가,"수출액",한국산음료,수출액,"시기:2023;수출액:18894만달러"
"중국",국가,"수입액",한국산음료,수입액,"시기:2023;수입액:9192만달러"
"중국",국가,"주요 수출국",홍콩,수출국,"비중:40.7%"
"중국",국가,"주요 수출국",미국,수출국,"비중:7.2%"
"중국",국가,"주요 수입국",한국,수입국,"비중:17.0%"
"중국",국가,"주요 수입국",일본,수입국,"비중:4.7%"
"중국",국가,"주요 브랜드",Red Bull,브랜드,"점유율:5.1%"
"중국",국가,"주요 브랜드",Nongfu Spring,브랜드,"점유율:4.6%"
"중국",국가,"주요 브랜드",Master Kong,브랜드,"점유율:4.4%"
"중국",국가,"시장규모",음료시장,시장규모,"시기:2023;시장규모:5574억위안"
"중국",국가,"수출액",한국산음료,수출액,"시기:2023;수출액:18894만달러"
"중국",국가,"수입액",한국산음료,수입액,"시기:2023;수입액:9192만달러"
"중국",국가,"주요 수출국",홍콩,수출국,"비중:40.7%"
"중국",국가,"주요 수출국",미국,수출국,"비중:7.2%"
"중국",국가,"주요 수입국",한국,수입국,"비중:17.0%"
"중국",국가,"주요 수입국",일본,수입국,"비중:4.7%"
"중국",국가,"주요 브랜드",Red Bull,브랜드,"점유율:5.1%"
"중국",국가,"주요 브랜드",Nongfu Spring,브랜드,"점유율:4.6%"
"중국",국가,"주요 브랜드",Master Kong,브랜드,"점유율:4.4%"
"중국",국가,"시장규모",음료시장,시장규모,"시기:2023;시장규모:5574억위안"
"중국",국가,"수출액",한국산음료,수출액,"시기:2023;수출액:18894만달러"
"중국",국가,"수입액",한국산음료,수입액,"시기:2023;수입액:9192만달러"
"중국",국가,"주요 수출국",홍콩,수출국,"비중:40.7%"
"중국",국가,"주요 수출국",미국,수출국,"비중:7.2%"
"중국",국가,"주요 수입국",한국,수입국,"비중:17.0%"
"중국",국가,"주요 수입국",일본,수입국,"비중:4.7%"
"중국",국가,"주요 브랜드",Red Bull,브랜드,"점유율:5.1%"
"중국",국가,"주요 브랜드",Nongfu Spring,브랜드,"점유율:4.6%"
"중국",국가,"주요 브랜드",Master Kong,브랜드,"점유율:4.4%"
"중국",국가,"시장규모",음료시장,시장규모,"시기:2023;시장규모:5574억위안"
"중국",국가,"수출액",한국산음료,수출액,"시기:2023;수출액:18894만달러"
"중국",국가,"수입액",한국산음료,수입액,"시기:2023;수입액:9192만달러"
"중국",국가,"주요 수출국",홍콩,수출국,"비중:40.7%"
"중국",국가,"주요 수출국",미국,수출국,"비중:7.2%"
"중국",국가,"주요 수입국",한국,수입국,"비중:17.0%"
"중국",국가,"주요 수입국",일본,수입국,"비중:4.7%"
"중국",국가,"주요 브랜드",Red Bull,브랜드,"점유율:5.1%"
"중국",국가,"주요 브랜드",Nongfu Spring,브랜드,"점유율:4.6%"
"중국",국가,"주요 브랜드",Master Kong,브랜드,"점유율:4.4%"
