엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국산 주류,품목,수출,미국,국가,수출액:29341만달러;연평균증가율:1.0%;수출비중:34.6%
한국산 주류,품목,수출,일본,국가,수출액:6072만달러;연평균감소율:-2.1%;수출비중:6.4%
한국산 주류,품목,수출,중국,국가,수출액:4146만달러;연평균감소율:-19.9%;수출비중:4.6%
한국산 주류,품목,수출,베트남,국가,수출액:914만달러;연평균증가율:30.3%;수출비중:1.0%
한국산 주류,품목,수출,대만,국가,수출액:169만달러;연평균증가율:6.7%;수출비중:0.2%
한국산 주류,품목,수출,미얀마,국가,수출액:547만달러;연평균증가율:1.0%;수출비중:0.6%
한국산 주류,품목,수출,태국,국가,수출액:279만달러;연평균증가율:35.8%;수출비중:0.3%
한국산 주류,품목,수출,인도네시아,국가,수출액:156만달러;연평균증가율:102.7%;수출비중:0.2%
한국산 주류,품목,수출,필리핀,국가,수출액:92만달러;연평균증가율:51.3%;수출비중:0.1%
한국산 주류,품목,수출,호주,국가,수출액:72만달러;연평균증가율:18.5%;수출비중:0.1%
한국산 주류,품목,수출,캐나다,국가,수출액:55만달러;연평균증가율:8.8%;수출비중:0.1%
한국산 주류,품목,수출,미국,국가,수출액:6181만달러;연평균증가율:26.7%;수출비중:21.1%
한국산 주류,품목,수출,일본,국가,수출액:6072만달러;연평균감소율:-2.1%;수출비중:20.7%
한국산 주류,품목,수출,중국,국가,수출액:4146만달러;연평균감소율:-14.0%;수출비중:14.2%
한국산 주류,품목,수출,대만,국가,수출액:169만달러;연평균증가율:15.5%;수출비중:0.6%
한국산 주류,품목,수출,베트남,국가,수출액:914만달러;연평균증가율:17.7%;수출비중:0.6%
한국산 주류,품목,수출,미얀마,국가,수출액:547만달러;연평균증가율:1.0%;수출비중:0.2%
한국산 주류,품목,수출,캄보디아,국가,수출액:258만달러;연평균감소율:-2.4%;수출비중:0.3%
한국산 주류,품목,수출,태국,국가,수출액:280만달러;연평균증가율:35.8%;수출비중:0.3%
한국산 주류,품목,수출,인도네시아,국가,수출액:156만달러;연평균증가율:102.7%;수출비중:0.2%
한국산 주류,품목,수출,필리핀,국가,수출액:92만달러;연평균증가율:51.3%;수출비중:0.1%
한국산 주류,품목,수출,호주,국가,수출액:72만달러;연평균증가율:18.5%;수출비중:0.1%
한국산 주류,품목,수출,캐나다,국가,수출액:55만달러;연평균증가율:8.8%;수출비중:0.1%
한국산 주류,품목,수출,미국,국가,수출액:6181만달러;연평균증가율:26.7%;수출비중:21.1%
한국산 주류,품목,수출,일본,국가,수출액:6072만달러;연평균감소율:-2.1%;수출비중:20.7%
한국산 주류,품목,수출,중국,국가,수출액:4146만달러;연평균감소율:-19.9%;수출비중:14.2%
한국산 주류,품목,수출,베트남,국가,수출액:914만달러;연평균증가율:30.3%;수출비중:0.3%
한국산 주류,품목,수출,대만,국가,수출액:169만달러;연평균증가율:6.7%;수출비중:0.2
