엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
중국,국가,수출국,Sanquan Food Co.Ltd,기업,국적:중국
중국,국가,수출국,Synear Food Co. Ltd,기업,국적:중국
중국,국가,수출국,Wanchai Ferry,기업,국적:미국
중국,국가,수출국,Yinlu,기업,국적:중국
중국,국가,수출국,Haidilao,기업,국적:중국
중국,국가,수출국,Anjoy,기업,국적:중국
중국,국가,수출국,Wahaha,기업,국적:중국
중국,국가,수출국,Jiatianxia,기업,국적:중국
중국,국가,수출국,Fairiemor,기업,국적:중국
중국,국가,수출국,Zihaiguo,기업,국적:중국
중국,국가,수출국,Sanquan,기업,국적:중국
중국,국가,수출국,Synear,기업,국적:중국
중국,국가,수출국,Wanchai Ferry,기업,국적:미국
중국,국가,수출국,La Fonte,기업,국적:인도네시아
중국,국가,수출국,Indofood Sukses Makmur Tbk,기업,국적:인도네시아
중국,국가,수출국,Pronas,기업,국적:인도네시아
중국,국가,수출국,Bumifood,기업,국적:인도네시아
중국,국가,수출국,Alfamart,기업,국적:인도네시아
중국,국가,수출국,Indomaret,기업,국적:인도네시아
중국,국가,수출국,Alfa Midi,기업,국적:인도네시아
중국,국가,수출국,Transmart Carrefour,기업,국적:인도네시아
중국,국가,수출국,Hypermart,기업,국적:인도네시아
중국,국가,수출국,Shopee,기업,국적:인도네시아
중국,국가,수출국,Tokopedia,기업,국적:인도네시아
중국,국가,수출국,Alibaba,기업,국적:중국
중국,국가,수출국,JD.com,기업,국적:중국
중국,국가,수출국,Pinduoduo,기업,국적:중국
중국,국가,수출국,Sea Ltd,기업,국적:싱가포르
중국,국가,수출국,Gojek,기업,국적:인도네시아
중국,국가,수출국,Kraft Heinz,기업,국적:미국
중국,국가,수출국,Nestlé,기업,국적:스위스
중국,국가,수출국,Jimmy Dean,기업,국적:미국
중국,국가,수출국,Great Value,기업,국적:미국
중국,국가,수출국,Marie Callender's,기업,국적:미국
중국,국가,수출국,Hormel,기업,국적:미국
중국,국가,수출국,Amy's Kitchen,기업,국적:미국
중국,국가,수출국,Daiya,기업,국적:캐나다
중국,국가,수출국,Feel Good Foods,기업,국적:미국
중국,국가,수출국,Edward & Sons,기업,국적:미국
중국,국가,수출국,Kikkoman,기업,국적:일본
중국,국가,수출국,Nomad Foods,기업,국적:영국
중국,국가,수출국,Meiyijia,기업,국적:중국
중국,국가,수출국,CR Meiyijia,기업,국적:중국
