엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
한국,국가,수출국,홍삼,품목,수출액:62675600
중국,국가,수입국,홍삼,품목,수입액:54318620
베트남,국가,수출국,홍삼,품목,수출액:15910790
미국,국가,수입국,홍삼,품목,수입액:11225200
한국,기업,제조,홍삼,품목,제품명:홍삼원D;주요제품:홍삼원D 홍삼담은 석류
KGC인삼공사,기업,제조,홍삼,품목,특징:6년근 인삼 사용;ISO 22000 획득;40개국 수출
진쎈,기업,제조,홍삼,품목,특징:6년근 인삼 찌고 건조;흑삼 제품;건강기능식품 브랜드
소백코리아,기업,제조,홍삼,품목,특징:인삼 수출 1000만불;홍삼액 홍삼절편 등 생산
정관장,기업,제조,홍삼,품목,특징:홍삼농축액;홍삼차;한국산 홍삼 강조
홍삼가건보,기업,제조,홍삼,품목,특징:홍삼농축액;홍삼음료;홍삼사탕;홍삼차
Ginseng Energy,기업,판매,홍삼음료,품목,특징:에너지 드링크;한국산 홍삼
삼시대,기업,제조,홍삼,품목,특징:홍삼농축액;홍삼차;홍삼사탕
정관장,기업,수입,홍삼,품목,원산지:한국
한국,국가,수출,홍삼,품목,수출액:62675600
중국,국가,수입,홍삼,품목,수입액:54318620
베트남,국가,수출,홍삼,품목,수출액:15910790
미국,국가,수입,홍삼,품목,수입액:11225200
한국,기업,수입,홍삼,품목,특징:한국산 홍삼 강조
중국,국가,수출,홍삼,품목,수출액:35066400
베트남,국가,수출,홍삼,품목,수출액:15910790
홍콩,국가,수입,홍삼,품목,수입액:14403860
미국,국가,수입,홍삼,품목,수입액:11225200
한국,기업,수입,홍삼,품목,특징:한국산 홍삼 강조
한국,국가,수출,홍삼,품목,수출액:62675600
중국,국가,수입,홍삼,품목,수입액:54318620
베트남,국가,수출,홍삼,품목,수출액:15910790
미국,국가,수입,홍삼,품목,수입액:11225200
