엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
말레이시아,국가,수출국,한국,국가,시기:2024년
말레이시아,국가,수입국,중국,국가,시기:2023년
말레이시아,국가,수입국,인도,국가,시기:2023년
말레이시아,국가,수입국,태국,국가,시기:2023년
말레이시아,국가,수입국,아르헨티나,국가,시기:2023년
말레이시아,국가,수입국,호주,국가,시기:2023년
말레이시아,국가,수입국,브라질,국가,시기:2023년
말레이시아,국가,수입국,미국,국가,시기:2023년
말레이시아,국가,수입국,싱가포르,국가,시기:2023년
말레이시아,국가,수입국,뉴질랜드,국가,시기:2023년
말레이시아,국가,수입국,한국,국가,시기:2023년
말레이시아,국가,수출국,한국,국가,시기:2024년
말레이시아,국가,수출품목,팜유(기타),품목,시기:2023년
말레이시아,국가,수출품목,팜유(조유),품목,시기:2023년
말레이시아,국가,수출품목,식물성 지방 분획물,품목,시기:2023년
말레이시아,국가,수출품목,동·식물성 유지,품목,시기:2023년
말레이시아,국가,수출품목,조제식료품,품목,시기:2023년
말레이시아,국가,수출품목,맥아추출물(기타),품목,시기:2023년
말레이시아,국가,수출품목,빵(기타),품목,시기:2023년
말레이시아,국가,수출품목,코코아버터,품목,시기:2023년
말레이시아,국가,수출품목,마가린 기타,품목,시기:2023년
말레이시아,국가,수출품목,코코아 가루,품목,시기:2023년
한국,국가,수출국,말레이시아,국가,시기:2024년
한국,국가,수출품목,라면,품목,시기:2023년
한국,국가,수출품목,조제식료품(기타),품목,시기:2023년
한국,국가,수출품목,기타 소의 지방,품목,시기:2023년
한국,국가,수출품목,옥수수 전분,품목,시기:2023년
한국,국가,수출품목,인스턴트 커피,품목,시기:2023년
한국,국가,수출품목,비스킷류,품목,시기:2023년
한국,국가,수출품목,고체 자당,품목,시기:2023년
한국,국가,수출품목,신선 딸기,품목,시기:2023년
한국,국가,수출품목,소스 조제품(기타),품목,시기:2023년
한국,국가,수출품목,조미김,품목,시기:2023년
말레이시아,국가,수입품목,코코아두,품목,시기:2023년
말레이시아,국가,수입품목,사탕수수당(기타),품목,시기:2023년
말레이시아,국가,수입품목,조제식료품,품목,시기:2023년
말레이시아,국가,수입품목,쌀(정미),품목,시기:2023년
말레이시아,국가,수입품목,대두유추출유박,품목,시기:2023년
말레이시아,국가,수입품목,옥수수(기타),품목,시기:2023년
말레이시아,국가,수입품목,팜유(기타),품목,시기:2023년
말레이시아,국가,수입품목,냉동 쇠고기,품목,시기:2023년
말레이시아,국가,수입품목,밀(기타),품목,시기:2023년
말레이시아,국가,수입품목,절단한 냉동 닭고기,품목,시기:2023년
한국,국가,수입국,말레이시아,국가,시기:2023년
한국,국가,수입품목,농산물,품목,시기:2023년
한국,국가,수입품목,축산물,품목,시기:2023년
한국,국가,수입품목,수산물,품목,시기:2023년
한국,국가,수입품목,임산물,품목,시기:2023년
말레이시아,국가,수출품목,라면,품목,시기:2023년
말레이시아,국가,수출품목,조제식료품(기타),품목,시기:2023년
말레이시아,국가,수출품목,기타 소의 지방,품목,시기:2023년
말레이시아,국가,수출품목,옥수수 전분,품목,시기:2023년
말레이시아,국가,수출품목,인스턴트커피,품목,시기:2023년
말레이시아,국가,수출품목,비스킷류,품목,시기:2023년
말레이시아,국가,수출품목,고체 자당,품목,시기:2023년
말레이시아,국가,수출품목,신선 딸기,품목,시기:2023년
말레이시아,국가,수출품목,소스 조제품(기타),품목,시기:2023년
말레이시아,국가,수출품목,조미김,품목,시기:2023년
말레이시아,국가,수출품목,김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,김 스낵,품목,시기:2023년
말레이시아,국가,수출품목,김자반,품목,시기:2023년
말레이시아,국가,수출품목,김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,김 스낵,품목,시기:2023년
말레이시아,국가,수출품목,김자반,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,한국산 김 스낵,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김자반,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,한국산 김 스낵,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김자반,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,한국산 김 스낵,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김자반,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,한국산 김 스낵,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김자반,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,한국산 김 스낵,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김자반,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,한국산 김 스낵,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김자반,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,한국산 김 스낵,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김자반,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,한국산 김 스낵,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김자반,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,한국산 김 스낵,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김자반,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,한국산 김 스낵,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김자반,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,한국산 김 스낵,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김자반,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,한국산 김 스낵,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김자반,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,한국산 김 스낵,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김자반,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,한국산 김 스낵,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김자반,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,한국산 김 스낵,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김자반,품목,시기:2023년
말레이시아,국가,수출품목,한국산 김(조미김),품목,시기:2023년
말레이시아,국가,수출품목,한국산 김 스낵,품목,시기:2023년
