엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
몽골,국가,수출국,중국,국가,국가:중국;시기:2023년
몽골,국가,수출국,이란,국가,국가:이란;시기:2023년
몽골,국가,수입국,러시아,국가,국가:러시아;시기:2023년
몽골,국가,수입국,중국,국가,국가:중국;시기:2023년
몽골,국가,수입국,한국,국가,국가:한국;시기:2023년
몽골,국가,수입국,폴란드,국가,국가:폴란드;시기:2023년
몽골,국가,수입국,독일,국가,국가:독일;시기:2023년
몽골,국가,수입국,카자흐스탄,국가,국가:카자흐스탄;시기:2023년
몽골,국가,수입국,태국,국가,국가:태국;시기:2023년
몽골,국가,수입국,베트남,국가,국가:베트남;시기:2023년
한국,기업,수출,몽골,국가,국가:몽골;시기:2023년
한국,기업,수출,중국,국가,국가:중국;시기:2023년
한국,기업,수출,이란,국가,국가:이란;시기:2023년
한국,기업,수출,독일,국가,국가:독일;시기:2023년
한국,기업,수출,홍콩,국가,국가:홍콩;시기:2023년
한국,기업,수출,러시아,국가,국가:러시아;시기:2023년
한국,기업,수출,아랍에미리트,국가,국가:아랍에미리트;시기:2023년
한국,기업,수출,우즈베키스탄,국가,국가:우즈베키스탄;시기:2023년
한국,기업,수출,한국,국가,국가:한국;시기:2023년
한국,기업,수출,카자흐스탄,국가,국가:카자흐스탄;시기:2023년
한국,기업,수출,일본,국가,국가:일본;시기:2023년
몽골,국가,수입,러시아,국가,국가:러시아;시기:2023년
몽골,국가,수입,중국,국가,국가:중국;시기:2023년
몽골,국가,수입,한국,국가,국가:한국;시기:2023년
몽골,국가,수입,폴란드,국가,국가:폴란드;시기:2023년
몽골,국가,수입,독일,국가,국가:독일;시기:2023년
몽골,국가,수입,카자흐스탄,국가,국가:카자흐스탄;시기:2023년
몽골,국가,수입,태국,국가,국가:태국;시기:2023년
몽골,국가,수입,베트남,국가,국가:베트남;시기:2023년
한국,기업,수입,몽골,국가,국가:몽골;시기:2023년
한국,기업,수입,중국,국가,국가:중국;시기:2023년
한국,기업,수입,러시아,국가,국가:러시아;시기:2023년
한국,기업,수입,폴란드,국가,국가:폴란드;시기:2023년
한국,기업,수입,독일,국가,국가:독일;시기:2023년
한국,기업,수입,카자흐스탄,국가,국가:카자흐스탄;시기:2023년
한국,기업,수입,태국,국가,국가:태국;시기:2023년
한국,기업,수입,베트남,국가,국가:베트남;시기:2023년
몽골,기업,수출,한국,국가,국가:한국;시기:2023년
몽골,기업,수출,중국,국가,국가:중국;시기:2023년
몽골,기업,수출,이란,국가,국가:이란;시기:2023년
몽골,기업,수출,독일,국가,국가:독일;시기:2023년
몽골,기업,수출,홍콩,국가,국가:홍콩;시기:2023년
몽골,기업,수출,러시아,국가,국가:러시아;시기:2023년
몽골,기업,수출,아랍에미리트,국가,국가:아랍에미리트;시기:2023년
몽골,기업,수출,우즈베키스탄,국가,국가:우즈베키스탄;시기:2023년
몽골,기업,수출,한국,국가,국가:한국;시기:2023년
몽골,기업,수출,중국,국가,국가:중국;시기:2023년
몽골,기업,수출,이란,국가,국가:이란;시기:2023년
몽골,기업,수출,독일,국가,국가:독일;시기:2023년
몽골,기업,수출,홍콩,국가,국가:홍콩;시기:2023년
몽골,기업,수출,러시아,국가,국가:러시아;시기:2023년
몽골,기업,수출,아랍에미리트,국가,국가:아랍에미리트;시기:2023년
몽골,기업,수출,우즈베키스탄,국가,국가:우즈베키스탄;시기:2023년
몽골,기업,수출,한국,국가,국가:한국;시기:2023년
몽골,기업,수출,중국,국가,국가:중국;시기:2023년
몽골,기업,수출,이란,국가,국가:이란;시기:2023년
몽골,기업,수출,독일,국가,국가:독일;시기:2023년
몽골,기업,수출,홍콩,국가,국가:홍콩;시기:2023년
몽골,기업,수출,러시아,국가,국가:러시아;시기:2023년
몽골,기업,수출,아랍에미리트,국가,국가:아랍에미리트;시기:2023년
몽골,기업,수출,우즈베키스탄,국가,국가:우즈베키스탄;시기:2023년
몽골,기업,수출,한국,국가,국가:한국;시기:2023년
몽골,기업,수출,중국,국가,국가:중국;시기:2023년
몽골,기업,수출,이란,국가,국가:이란;시기:2023년
몽골,기업,수출,독일,국가,국가:독일;시기:2023년
몽골,기업,수출,홍콩,국가,국가:홍콩;시기:2023년
몽골,기업,수출,러시아,국가,국가:러시아;시기:2023년
몽골,기업,수출,아랍에미리트,국가,국가:아랍에미리트;시기:2023년
몽골,기업,수출,우즈베키스탄,국가,국가:우즈베키스탄;시기:2023년
몽골,기업,수출,한국,국가,국가:한국;시기:2023년
몽골,기업,수출,중국,국가,국가:중국;시기:2023년
몽골,기업,수출,이란,국가,국가:이란;시기:2023년
몽골,기업,수출,독일,국가,국가:독일;시기:2023년
몽골,기업,수출,홍콩,국가,국가:홍콩;시기:2023년
몽골,기업,수출,러시아,국가,국가:러시아;시기:2023년
몽골,기업,수출,아랍에미리트,국가,국가:아랍에미리트;시기:2023년
몽골,기업,수출,우즈베키스탄,국가,국가:우즈베키스탄;시기:2023년
몽골,기업,수출,한국,국가,국가:한국;시기:2023년
몽골,기업,수출,중국,국가,국가:중국;시기:2023년
몽골,기업,수출,이란,국가,국가:이란;시기:2023년
몽골,기업,수출,독일,국가,국가:독일;시기:2023년
몽골,기업,수출,홍콩,국가,국가:홍콩;시기:2023년
몽골,기업,수출,러시아,국가,국가:러시아;시기:2023년
몽골,기업,수출,아랍에미리트,국가,국가:아랍에미리트;시기:2023년
몽골,기업,수출,우즈베키스탄,국가,국가:우즈베키스탄;시기:2023년
몽골,기업,수출,한국,국가,국가:한국;시기:2023년
몽골,기업,수출,중국,국가,국가:중국;시기:2023년
몽골,기업,수출,이란,국가,국가:이란;시기:2023년
몽골,기업,수출,독일,국가,국가:독일;시기:2023년
몽골,기업,수출,홍콩,국가,국가:홍콩;시기:2023년
몽골,기업,수출,러시아,국가,국가:러시아;시기:2023년
몽골,기업,수출,아랍에미리트,국가,국가:아랍에미리트;시기:2023년
몽골,기업,수출,우즈베키스탄,국가,국가:우즈베키스탄;시기:2023년
몽골,기업,수출,한국,국가,국가:한국;시기:2023년
몽골,기업,수출,중국,국가,국가:중국;시기:2023년
몽골,기업,수출,이란,국가,국가:이란;시기:2023년
몽골,기업,수출,독일,국가,국가:독일;시기:2023년
몽골,기업,수출,홍콩,국가,국가:홍콩;시기:2023년
몽골,기업,수출,러시아,국가,국가:러시아;시기:2023년
몽골,기업,수출,아랍에미리트,국가,국가:아랍에미리트;시기:2023년
몽골,기업,수출,우즈베키스탄,국가,국가:우즈베키스탄;시기:2023년
