엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
미국,국가,보고서,2024년 미국 국가조사 보고서,보고서,시기:2024년
한국,국가,수출,한국산 가금제품,품목,수출액:1740140만달러;연평균성장률:10.4%
한국,국가,수출,한국산 김치,품목,수출액:3999만달러;연평균성장률:28.2%
한국,국가,수출,한국산 배,품목,수출액:3751만달러;연평균성장률:2.3%
한국,국가,수출,한국산 라면,품목,수출액:12659만달러;연평균성장률:24%
한국,국가,수출,한국산 냉동 김밥,품목,인기순위:3위;판매량증가
미국,국가,수입,미국,국가,수입액:2061억달러;연평균성장률:8.3%
한국,국가,수입,한국산 식품,품목,수입액:1487백만달러;비중:0.7%
한국,국가,수출,한국산 꿀,품목,시장규모:13억7000만달러;연평균성장률:6.6%
미국,국가,시장,2023년 미국 식품시장,시장,규모:7998억달러;연평균성장률:4.1%
미국,국가,시장,2023년 미국 무알코올 증류주시장,시장,규모:95.1%증가
미국,국가,시장,2023년 미국 무알코올 맥주시장,시장,시장규모:증가
미국,국가,시장,2023년 미국 식품 배달시장,시장,규모:1158억달러;연평균성장률:30.1%
미국,국가,시장,2023년 미국 온라인 식품유통시장,시장,규모:1158억달러;연평균성장률:5.5%
미국,국가,시장,2023년 미국 오프라인 유통채널,시장,규모:17436억달러;연평균성장률:0.4%
미국,국가,시장,2023년 미국 오프라인 매장수,시장,수:39366개;연평균성장률:0.8%
한국,국가,수출,한국산 김치,품목,수출액:3999만달러;연평균성장률:28.2%
한국,국가,수출,한국산 배,품목,수출액:3751만달러;연평균성장률:2.3%
한국,국가,수출,한국산 라면,품목,수출액:12659만달러;연평균성장률:24%
한국,국가,수출,한국산 냉동 김밥,품목,인기순위:3위;판매량증가
한국,국가,수출,한국산 꿀,품목,시장규모:13억7000만달러;연평균성장률:6.6%
한국,국가,수출,한국산 조미김,품목,수출액:1580만달러;연평균성장률:51.6%
한국,국가,수출,한국산 찌거나 삶은 쌀,품목,수출액:654만달러;연평균성장률:43.3%
한국,국가,수출,한국산 베이커리 제품,품목,수출액:531만달러;연평균성장률:23.3%
미국,국가,수입,한국산 식품,품목,수입액:1487백만달러;비중:0.7%
미국,국가,시장,2024년 미국 식품시장,시장,규모:약 9383억달러(예상);연평균성장률:4.1%
미국,국가,시장,2024년 미국 무알코올 증류주시장,시장,증가율:95.1%
미국,국가,시장,2024년 미국 맥주시장,시장,시장규모:감소
미국,국가,시장,2024년 미국 식품 배달시장,시장,규모:약 1432억달러(예상);연평균성장률:5.5%
미국,국가,시장,2024년 미국 온라인 식품유통시장,시장,규모:약 1432억달러(예상);연평균성장률:5.5%
미국,국가,시장,2024년 미국 오프라인 유통채널,시장,규모:약 17748억달러(예상);연평균성장률:0.4%
미국,국가,시장,2024년 미국 오프라인 매장수,시장,수:약 39400개(예상);연평균성장률:0.8%
한국,국가,수출,한국산 김치,품목,수출액:3999만달러;연평균성장률:28.2%
한국,국가,수출,한국산 배,품목,수출액:3751만달러;연평균성장률:2.3%
한국,국가,수출,한국산 라면,품목,수출액:12659만달러;연평균성장률:24%
한국,국가,수출,한국산 냉동 김밥,품목,인기순위:3위;판매량증가
한국,국가,수출,한국산 꿀,품목,시장규모:13억7000만달러;연평균성장률:6.6%
한국,국가,수출,한국산 조미김,품목,수출액:1580만달러;연평균성장률:51.6%
한국,국가,수출,한국산 찌거나 삶은 쌀,품목,수출액:654만달러;연평균성장률:43.3%
한국,국가,수출,한국산 베이커리 제품,품목,수출액:531만달러;연평균성장률:23.3%
미국,국가,수입,한국산 식품,품목,수입액:1487백만달러;비중:0.7%
미국,국가,시장,2024년 미국 식품시장,시장,규모:약 9383억달러(예상);연평균성장률:4.1%
미국,국가,시장,2024년 미국 무알코올 증류주시장,시장,증가율:95.1%
미국,국가,시장,2024년 미국 맥주시장,시장,시장규모:감소
미국,국가,시장,2024년 미국 식품 배달시장,시장,규모:약 1432억달러(예상);연평균성장률:5.5%
미국,국가,시장,2024년 미국 온라인 식품유통시장,시장,규모:약 1432억달러(예상);연평균성장률:5.5%
미국,국가,시장,2024년 미국 오프라인 유통채널,시장,규모:약 17748억달러(예상);연평균성장률:0.4%
미국,국가,시장,2024년 미국 오프라인 매장수,시장,수:약 39400개(예상);연평균성장률:0.8%
