엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
포도,품목,생산지,베트남,국가,국가:베트남;시기:2024년
포도,품목,생산지,중국,국가,국가:중국;시기:2024년
포도,품목,생산지,호주,국가,국가:호주;시기:2024년
포도,품목,생산지,미국,국가,국가:미국;시기:2024년
포도,품목,품종,Red Cardinal,품종,특징:적포도;당도:14-16%;모양:원형;숙성시 과피색:적색
포도,품목,품종,Red Globe,품종,특징:녹색이 엇걸린 적색;씨:있음;과피:얇음
포도,품목,품종,Crimson,품종,특징:씨없음;포도알:큰 타원형;색상:연한 붉은색
포도,품목,품종,Shine Muscat,품종,특징:알 크고 은은한 향기;당도:14-16%;과피:얇음
포도,품목,품종,Sunshine Thirteen Grapes,품종,특징:황금빛;큰 열매;씨없음;당도:18-20brix
포도,품목,품종,Victoria Grapes,품종,특징:크고 긴 타원형;황록색;당도:10.2-12.5brix;산미:0.45-0.55;VC:14.5-17.0mg/100g
포도,품목,생산량,전국,생산량,량:1267만톤(2022년 기준)
포도,품목,생산량,샤인머스캣,생산량,량:7만톤(2022년 기준)
포도,품목,시장규모,전체시장,규모,량:166226톤(2022년)
포도,품목,시장규모,수입시장,규모,액수:305238달러(2023년)
포도,품목,수입액,중국,수입액,액수:204830달러(2022년)
포도,품목,수입량,중국,수입량,량:101443톤(2023년)
포도,품목,수입액,호주,수입액,액수:56331달러(2022년)
포도,품목,수입량,호주,수입량,량:14664톤(2022년)
포도,품목,수입액,미국,수입액,액수:33826달러(2022년)
포도,품목,수입량,미국,수입량,량:9587톤(2022년)
포도,품목,수입액,남아공,수입액,액수:19495달러(2022년)
포도,품목,수입량,남아공,수입량,량:6919톤(2022년)
포도,품목,수입액,페루,수입액,액수:13562달러(2022년)
포도,품목,수입량,페루,수입량,량:3964톤(2022년)
포도,품목,수입액,한국,수입액,액수:9132달러(2022년)
포도,품목,수입량,한국,수입량,량:512톤(2022년)
포도,품목,수입액,칠레,수입액,액수:5289달러(2022년)
포도,품목,수입량,칠레,수입량,량:2591톤(2022년)
포도,품목,수입액,중국,수입액,액수:158659달러(2021년)
포도,품목,수입량,중국,수입량,량:68658톤(2021년)
포도,품목,수입액,호주,수입액,액수:27806달러(2019년)
포도,품목,수입량,호주,수입량,량:7617톤(2019년)
포도,품목,수입액,미국,수입액,액수:28462달러(2019년)
포도,품목,수입량,미국,수입량,량:7927톤(2019년)
포도,품목,수입액,남아공,수입액,액수:14017달러(2019년)
포도,품목,수입량,남아공,수입량,량:4540톤(2019년)
포도,품목,수입액,페루,수입액,액수:5012달러(2019년)
포도,품목,수입량,페루,수입량,량:1486톤(2019년)
포도,품목,수입액,한국,수입액,액수:9003달러(2019년)
포도,품목,수입량,한국,수입량,량:481톤(2019년)
포도,품목,수입액,칠레,수입액,액수:2872달러(2019년)
포도,품목,수입량,칠레,수입량,량:1281톤(2019년)
포도,품목,수입액,중국,수입액,액수:125000달러/박스(800g~1kg)
포도,품목,수입량,중국,수입량,량:약 800g~1kg/박스
포도,품목,수입액,호주,수입액,액수:189000달러/kg
포도,품목,수입량,호주,수입량,량:1kg
포도,품목,수입액,칠레,수입액,액수:289000달러/kg
포도,품목,수입량,칠레,수입량,량:1kg
포도,품목,수입액,남아공,수입액,액수:179000달러/kg
포도,품목,수입량,남아공,수입량,량:1kg
포도,품목,수입액,한국,수입액,액수:765만달러(2023년)
포도,품목,수입량,한국,수입량,량:552톤(2023년)
포도,품목,수입액,중국,수입액,액수:약 80억달러(2023년)
포도,품목,수입량,중국,수입량,량:약 11.2만톤(2023년)
포도,품목,수입액,베트남,수입액,액수:약 8천만달러(2023년)
포도,품목,수입량,베트남,수입량,량:약 11만톤(2023년)
포도,품목,수입액,태국,수입액,액수,액수:수출(3.11%) 참고
포도,품목,수입액,인도네시아,수입액,액수,액수:수출(3.11%) 참고
