엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
국가,국가,수출품목,아르헨티나,국가,시기:2024년;국가:아르헨티나
수출품목,품목,수출액,옥수수(기타),품목,수출액:2023년5633757
수출품목,품목,수출액,대두유 추출 유박,품목,수출액:2023년4198871
수출품목,품목,수출액,대두유(기타),품목,수출액:2023년2405852
수출품목,품목,수출액,냉동 쇠고기,품목,수출액:2023년1751614
수출품목,품목,수출액,대두(기타),품목,수출액:2023년934042
수출품목,품목,수출액,밀 기타,품목,수출액:2023년871679
수출품목,품목,수출액,신선 냉장 쇠고기,품목,수출액:2023년784952
수출품목,품목,수출액,탈각 땅콩,품목,수출액:2023년768578
수출품목,품목,수출액,보리(기타),품목,수출액:2023년723877
수출품목,품목,수출액,해바라기씨유(조유),품목,수출액:2023년652938
수출국,국가,수출액,중국,국가,수출액:2023년3772645
수출국,국가,수출액,브라질,국가,수출액:2023년2839368
수출국,국가,수출액,베트남,국가,수출액:2023년1936368
수출국,국가,수출액,인도,국가,수출액:2023년1909365
수출국,국가,수출액,칠레,국가,수출액:2023년1521693
수출국,국가,수출액,페루,국가,수출액:2023년1159074
수출국,국가,수출액,말레이시아,국가,수출액:2023년1066842
수출국,국가,수출액,미국,국가,수출액:2023년1046084
수출국,국가,수출액,알제리,국가,수출액:2023년792972
수출국,국가,수출액,네덜란드,국가,수출액:2023년711254
수출국,국가,수출액,한국,국가,수출액:2023년672547
수출품목,품목,수출액,옥수수(기타),품목,수출액:2023년5633757
수출품목,품목,수출액,대두유 추출 유박,품목,수출액:2023년4198871
수출품목,품목,수출액,대두유(기타),품목,수출액:2023년2405852
수출품목,품목,수출액,냉동 쇠고기,품목,수출액:2023년1751614
수출품목,품목,수출액,대두(기타),품목,수출액:2023년934042
수출품목,품목,수출액,밀 기타,품목,수출액:2023년871679
수출품목,품목,수출액,신선 냉장 쇠고기,품목,수출액:2023년784952
수출품목,품목,수출액,탈각 땅콩,품목,수출액:2023년768578
수출품목,품목,수출액,보리(기타),품목,수출액:2023년723877
수출품목,품목,수출액,해바라기씨유(조유),품목,수출액:2023년652938
수입국,국가,수입액,파라과이,국가,수입액:2023년3281689
수입국,국가,수입액,브라질,국가,수입액:2023년3010694
수입국,국가,수입액,에콰도르,국가,수입액:2023년327792
수입국,국가,수입액,볼리비아,국가,수입액:2023년269850
수입국,국가,수입액,미국,국가,수입액:2023년206159
수입국,국가,수입액,칠레,국가,수입액:2023년171402
수입국,국가,수입액,우루과이,국가,수입액:2023년133479
수입국,국가,수입액,중국,국가,수입액:2023년81741
수입국,국가,수입액,페루,국가,수입액:2023년61839
수입국,국가,수입액,네덜란드,국가,수입액:2023년55126
수입품목,품목,수입액,대두(기타),품목,수입액:2023년5618397
수입품목,품목,수입액,바나나(기타),품목,수입액:2023년295812
수입품목,품목,수입액,조제식료품,품목,수입액:2023년159503
수입품목,품목,수입액,볶지않은 커피,품목,수입액:2023년114830
수입품목,품목,수입액,옥수수 종자용,품목,수입액:2023년80707
수입품목,품목,수입액,코코아 가루,품목,수입액:2023년64946
수입품목,품목,수입액,코코아 버터,품목,수입액:2023년61336
수입품목,품목,수입액,신선·건조 아보카도,품목,수입액:2023년61042
수입품목,품목,수입액,마가린(기타),품목,수입액:2023년44247
수입품목,품목,수입액,코코아베이스트(미탈지),품목,수입액:2023년41065
수출국,국가,수출액,한국,국가,수출액:2023년672547
수출품목,품목,수출액,라면,품목,수출액:2023년926000
수출품목,품목,수출액,식물성 점질물,품목,수출액:2023년264000
수출품목,품목,수출액,아이스크림,품목,수출액:2023년188000
수출품목,품목,수출액,베이커리 제품,품목,수출액:2023년187000
수출품목,품목,수출액,고추장,품목,수출액:2023년168000
수출국,국가,수출액,한국,국가,수출액:2023년672547
수출품목,품목,수출액,라면,품목,수출액:2023년926000
수출품목,품목,수출액,식물성 점질물,품목,수출액:2023년264000
수출품목,품목,수출액,아이스크림,품목,수출액:2023년188000
수출품목,품목,수출액,베이커리 제품,품목,수출액:2023년187000
수출품목,품목,수출액,고추장,품목,수출액:2023년168000
수출국,국가,수출액,한국,국가,수출액:2023년672547
수출품목,품목,수출액,라면,품목,수출액:2023년926000
수출품목,품목,수출액,식물성 점질물,품목,수출액:2023년264000
수출품목,품목,수출액,아이스크림,품목,수출액:2023년188000
수출품목,품목,수출액,베이커리 제품,품목,수출액:2023년187000
수출품목,품목,수출액,고추장,품목,수출액:2023년168000
수출국,국가,수출액,한국,국가,수출액:2023년672547
수출품목,품목,수출액,라면,품목,수출액:2023년926000
수출품목,품목,수출액,식물성 점질물,품목,수출액:2023년264000
수출품목,품목,수출액,아이스크림,품목,수출액:2023년188000
수출품목,품목,수출액,베이커리 제품,품목,수출액:2023년187000
수출품목,품목,수출액,고추장,품목,수출액:2023년168000
수출국,국가,수출액,한국,국가,수출액:2023년672547
수출품목,품목,수출액,라면,품목,수출액:2023년926000
수출품목,품목,수출액,식물성 점질물,품목,수출액:2023년264000
수출품목,품목,수출액,아이스크림,품목,수출액:2023년188000
수출품목,품목,수출액,베이커리 제품,품목,수출액:2023년187000
수출품목,품목,수출액,고추장,품목,수출액:2023년168000
수출국,국가,수출액,한국,국가,수출액:2023년672547
