엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
우즈베키스탄,국가,수출국,밀·메슬린 가루,품목,수출액:268530;비중:14.3;YoY:-4.4;CAGR:39.9
우즈베키스탄,국가,수출국,신선 포도,품목,수출액:196087;비중:10.4;YoY:32.8;CAGR:12.8
우즈베키스탄,국가,수출국,건조채두류(기타),품목,수출액:109155;비중:5.8;YoY:22.7;CAGR:21.4
우즈베키스탄,국가,수출국,녹두,품목,수출액:98472;비중:5.2;YoY:-7.5;CAGR:8.6
우즈베키스탄,국가,수출국,건조 포도,품목,수출액:84022;비중:4.5;YoY:38.1;CAGR:9.3
우즈베키스탄,국가,수출국,복숭아,품목,수출액:68080;비중:3.6;YoY:55.2;CAGR:12.8
우즈베키스탄,국가,수출국,토마토,품목,수출액:57819;비중:3.1;YoY:-3.4;CAGR:5.4
우즈베키스탄,국가,수출국,감,품목,수출액:52006;비중:2.8;YoY:51.0;CAGR:11.1
우즈베키스탄,국가,수출국,밀(기타),품목,수출액:763267;비중:14.4;YoY:24.4;CAGR:29.5
우즈베키스탄,국가,수출국,사탕무당의 당,품목,수출액:464450;비중:11.2;YoY:45.3;CAGR:97.2
우즈베키스탄,국가,수출국,마가린(기타),품목,수출액:211223;비중:5.1;YoY:166.7;CAGR:105.7
우즈베키스탄,국가,수출국,냉장 쇠고기,품목,수출액:162502;비중:3.9;YoY:96.7;CAGR:308.4
우즈베키스탄,국가,수출국,해바라기씨유(기타),품목,수출액:159121;비중:3.8;YoY:-32.3;CAGR:7.6
우즈베키스탄,국가,수출국,밀가루,품목,수출액:141954;비중:3.4;YoY:48.6;CAGR:7.0
우즈베키스탄,국가,수출국,대두유 추출 유박,품목,수출액:132936;비중:3.2;YoY:0.1;CAGR:7.8
우즈베키스탄,국가,수출국,식물성 지방 분획물,품목,수출액:94126;비중:2.3;YoY:-1.8;CAGR:16.5
우즈베키스탄,국가,수출국,초콜릿(기타),품목,수출액:81384;비중:2.0;YoY:26.7;CAGR:58.5
우즈베키스탄,국가,수출국,영유아 조제식료품,품목,수출액:74041;비중:1.8;YoY:67.5;CAGR:37.3
우즈베키스탄,국가,수입국,카자흐스탄,국가,수입액:14543800;비중:35.1;YoY:34.9;CAGR:24.1
우즈베키스탄,국가,수입국,러시아,국가,수입액:914207;비중:22.1;YoY:13.6;CAGR:22.9
우즈베키스탄,국가,수입국,브라질,국가,수입액:479888;비중:11.6;YoY:46.2;CAGR:85.2
우즈베키스탄,국가,수입국,벨라루스,국가,수입액:147250;비중:3.6;YoY:39.1;CAGR:61.3
우즈베키스탄,국가,수입국,키르기스스탄,국가,수입액:85536;비중:2.1;YoY:403.9;CAGR:155.8
우즈베키스탄,국가,수입국,튀르키예,국가,수입액:79483;비중:1.9;YoY:12.4;CAGR:22.9
우즈베키스탄,국가,수입국,중국,국가,수입액:78256;비중:1.9;YoY:25.5;CAGR:1.2
우즈베키스탄,국가,수입국,파키스탄,국가,수입액:64978;비중:1.6;YoY:145.1;CAGR:4.2
우즈베키스탄,국가,수입국,에콰도르,국가,수입액:62546;비중:1.5;YoY:103.2;CAGR:46.9
우즈베키스탄,국가,수입국,인도,국가,수입액:59763;비중:1.4;YoY:267.6;CAGR:71.2
우즈베키스탄,국가,수입국,한국,국가,수입액:4997;비중:0.1;YoY:12.7;CAGR:36.1
