엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
인도네시아,국가,수입국,중국,국가,수출국:중국;시기:2023
인도네시아,국가,수입국,인도,국가,수출국:인도;시기:2023
인도네시아,국가,수입국,미국,국가,수출국:미국;시기:2023
인도네시아,국가,수입국,파키스탄,국가,수출국:파키스탄;시기:2023
인도네시아,국가,수입국,말레이시아,국가,수출국:말레이시아;시기:2023
인도네시아,국가,수입국,태국,국가,수출국:태국;시기:2023
인도네시아,국가,수입국,인도,국가,수출국:인도;시기:2023
인도네시아,국가,수입국,브라질,국가,수입액:약2382만달러;시기:2023
인도네시아,국가,수입국,호주,국가,수입액:약3523만달러;시기:2023
인도네시아,국가,수입국,미국,국가,수입액:약3158만달러;시기:2023
인도네시아,국가,수입국,중국,국가,수입액:약3193만달러;시기:2023
인도네시아,국가,수입국,태국,국가,수입액:약2663만달러;시기:2023
인도네시아,국가,수입국,인도,국가,수입액:약1357만달러;시기:2023
인도네시아,국가,수입국,베트남,국가,수입액:약940만달러;시기:2023
인도네시아,국가,수입국,브라질,국가,수입액:약3846만달러;시기:2023
인도네시아,국가,수입국,호주,국가,수입액:약3523만달러;시기:2023
인도네시아,국가,수입국,미국,국가,수입액:약3158만달러;시기:2023
인도네시아,국가,수입국,중국,국가,수입액:약3132만달러;시기:2023
인도네시아,국가,수입국,태국,국가,수입액:약2663만달러;시기:2023
인도네시아,국가,수입국,인도,국가,수입액:약1357만달러;시기:2023
인도네시아,국가,수입국,베트남,국가,수입액:약940만달러;시기:2023
한국,국가,수출국,인도네시아,국가,수출액:약7.86백만달러;시기:2023
한국,국가,수출국,중국,국가,수출액:약90.56억달러;시기:2023
한국,국가,수출국,인도,국가,수출액:약5.07억달러;시기:2023
한국,국가,수출국,미국,국가,수출액:약0.39억달러;시기:2023
한국,국가,수출국,파키스탄,국가,수출액:약0.23억달러;시기:2023
한국,국가,수출국,말레이시아,국가,수출액:약0.22억달러;시기:2023
한국,국가,수출국,필리핀,국가,수출액:약0.018억달러;시기:2023
한국,국가,수출국,베트남,국가,수출액:약0.009억달러;시기:2023
한국,국가,수출국,일본,국가,수출액:약0.007억달러;시기:2023
한국,국가,수출국,네덜란드,국가,수출액:약0.011억달러;시기:2023
한국,국가,수출국,한국,국가,수출액:약0.007억달러;시기:2023
인도네시아,국가,수입국,중국,국가,수입액:약9.06백만달러;시기:2023
인도네시아,국가,수입국,미국,국가,수입액:약3.16백만달러;시기:2023
인도네시아,국가,수입국,호주,국가,수입액:약3.52백만달러;시기:2023
인도네시아,국가,수입국,브라질,국가,수입액:약3.86백만달러;시기:2023
인도네시아,국가,수입국,태국,국가,수입액:약2.66백만달러;시기:2023
인도네시아,국가,수입국,인도,국가,수입액:약1.36백만달러;시기:2023
인도네시아,국가,수입국,베트남,국가,수입액:약0.94백만달러;시기:2023
