엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
중화인민공화국,국가,법률정의,독점기술,기술,법률정의:특정 제품의 생산에 필요한 전문지식과 경험;기술의 총합
중화인민공화국,국가,법률정의,수출입 화물 가격 심사 방법,법률,제51조에 독점기술에 관한 법률 정의
중국,국가,산업분류,중화인민공화국국가표준(GB/T 4754-2017),표준,산업분류: 국민경제산업분류
중국,국가,산업분류,중국 국민경제산업분류,분류,산업분류: 국민경제산업분류
중국,국가,산업분류,중화인민공화국국가표준(GB/T 4754-2017),표준,표준명:중화인민공화국국가표준(GB/T 4754-2017)
중국,국가,산업분류,중화인민공화국국가표준(GB/T 4754-2017),표준,분류목록: 서비스,패스트푸드,차전문점 등
중국,국가,행정구역,지방 지급시,행정단위,지방 지급시:성(省)정부 직속 2급 행정단위
중국,국가,도시등급,중국 도시 등급,등급,4대 도시,신1선 도시
중국,국가,도시,상하이,도시,상하이(上海): 프랜차이즈 매장수 66개, 매출 450.2억 위안
중국,국가,도시,베이징,도시,베이징(北京): 프랜차이즈 매장수 104개, 매출 442.1억 위안
중국,국가,도시,광저우,도시,광저우(广州): 프랜차이즈 매장수 90개, 매출 381.8억 위안
중국,국가,도시,선전,도시,선전(深圳): 프랜차이즈 매장수 90개, 매출 384.1억 위안
중국,국가,도시,창사,도시,창사(长沙): 프랜차이즈 매장수 29개, 매출 미기재
중국,국가,시장규모,중국 외식업 시장규모,금액,2023년 5조2890억 위안
중국,국가,시장규모,중국 배달음식 시장규모,금액,2023년 1조5254억 위안
중국,국가,프랜차이즈율,중국 외식업 프랜차이즈율,비율,2019년 13%, 2023년 21%
중국,국가,프랜차이즈기업수,중국 외식 프랜차이즈 기업수,개수,2022년 564개
중국,국가,매장수,중국 외식 프랜차이즈 전체 매장수,개수,2022년 46097개
중국,국가,매장수,중국 외식 프랜차이즈 매장수,개수,2023년 46497개
중국,국가,브랜드수,중국 100대 외식 프랜차이즈 브랜드,개수,2024년 100개
중국,국가,브랜드,미쉐빙청,브랜드,매장수 32291개, 가맹점수 32266개, 단가 6위안
중국,국가,브랜드,양궈푸,브랜드,매장수 6703개, 단가 35~40위안
중국,국가,브랜드,타쓰팅,브랜드,매장수 6001개, 단가 30위안
중국,국가,브랜드,장량마라탕,브랜드,매장수 5900개, 단가 25위안
중국,국가,브랜드,바비만터우,브랜드,매장수 5030개, 단가 7.5위안
중국,국가,브랜드,더커스,브랜드,매장수 3293개, 단가 35위안
중국,국가,브랜드,위안지윈자오,브랜드,매장수 3133개, 단가 28위안
중국,국가,브랜드,지샹훈툰,브랜드,매장수 3031개, 단가 21위안
중국,국가,브랜드,챔피언 피자,브랜드,매장수 3002개, 단가 50위안
