엔터티1,엔터티1유형,관계,엔터티2,엔터티2유형,속성
칠레,국가,수출국,한국,국가,시기:2024년
칠레,국가,수출국,중국,국가,시기:2023년
칠레,국가,수출국,미국,국가,시기:2023년
칠레,국가,수출국,일본,국가,시기:2023년
칠레,국가,수출국,브라질,국가,시기:2023년
칠레,국가,수출국,멕시코,국가,시기:2023년
칠레,국가,수출국,네덜란드,국가,시기:2023년
칠레,국가,수출국,한국,국가,시기:2023년
칠레,국가,수출국,영국,국가,시기:2023년
칠레,국가,수출국,스페인,국가,시기:2023년
칠레,국가,수출국,캐나다,국가,시기:2023년
칠레,국가,수출국,아르헨티나,국가,시기:2023년
칠레,국가,수출국,파라과이,국가,시기:2023년
칠레,국가,수출국,페루,국가,시기:2023년
칠레,국가,수출국,콜롬비아,국가,시기:2023년
칠레,국가,수출국,에콰도르,국가,시기:2023년
칠레,국가,수출국,스페인,국가,시기:2023년
칠레,국가,수출국,한국,국가,시기:2023년
칠레,국가,수입국,아르헨티나,국가,시기:2023년
칠레,국가,수입국,브라질,국가,시기:2023년
칠레,국가,수입국,파라과이,국가,시기:2023년
칠레,국가,수입국,미국,국가,시기:2023년
칠레,국가,수입국,중국,국가,시기:2023년
칠레,국가,수입국,페루,국가,시기:2023년
칠레,국가,수입국,캐나다,국가,시기:2023년
칠레,국가,수입국,콜롬비아,국가,시기:2023년
칠레,국가,수입국,에콰도르,국가,시기:2023년
칠레,국가,수입국,스페인,국가,시기:2023년
한국,국가,수출국,칠레,국가,시기:2023년
중국,국가,수출국,칠레,국가,시기:2023년
미국,국가,수출국,칠레,국가,시기:2023년
일본,국가,수출국,칠레,국가,시기:2023년
브라질,국가,수출국,칠레,국가,시기:2023년
멕시코,국가,수출국,칠레,국가,시기:2023년
네덜란드,국가,수출국,칠레,국가,시기:2023년
한국,국가,수출국,칠레,국가,시기:2023년
칠레,국가,수출액,약 140억달러,금액,시기:2023년
칠레,국가,수출액,약 122억달러,금액,시기:2019년
한국,국가,수출액,약 4.5억달러,금액,시기:2023년
중국,국가,수출액,약 32.6억달러,금액,시기:2023년
미국,국가,수출액,약 26.9억달러,금액,시기:2023년
칠레,국가,수출품목,살구·체리(기타),품목,시기:2023년
칠레,국가,수출품목,포도주(2ℓ 이하),품목,시기:2023년
칠레,국가,수출품목,신선 포도,품목,시기:2023년
칠레,국가,수출품목,냉동 돼지고기,품목,시기:2023년
칠레,국가,수출품목,신선 사과,품목,시기:2023년
칠레,국가,수출품목,신선 크랜베리,품목,시기:2023년
칠레,국가,수출품목,조제·보존 토마토(기타),품목,시기:2023년
칠레,국가,수출품목,절단한 냉동 닭고기,품목,시기:2023년
칠레,국가,수출품목,건조 프룬,품목,시기:2023년
칠레,국가,수출품목,호두(미탈각),품목,시기:2023년
칠레,국가,수입품목,신선·냉장 쇠고기,품목,시기:2023년
칠레,국가,수입품목,옥수수,품목,시기:2023년
칠레,국가,수입품목,대두유 추출 유박,품목,시기:2023년
칠레,국가,수입품목,밀(기타),품목,시기:2023년
칠레,국가,수입품목,사탕수수(기타),품목,시기:2023년
칠레,국가,수입품목,냉동 돼지고기,품목,시기:2023년
칠레,국가,수입품목,대두유(기타),품목,시기:2023년
칠레,국가,수입품목,조제식료품,품목,시기:2023년
칠레,국가,수입품목,감자,품목,시기:2023년
칠레,국가,수입품목,치즈(기타),품목,시기:2023년
한국,국가,수출품목,기타 무알코올 음료,품목,시기:2023년
한국,국가,수출품목,인스턴트 커피,품목,시기:2023년
한국,국가,수출품목,조미김,품목,시기:2023년
한국,국가,수출품목,라면,품목,시기:2023년
한국,국가,수출품목,색이 첨가된 음료,품목,시기:2023년
한국,국가,수출품목,베이커리 제품,품목,시기:2023년
한국,국가,수출품목,소스 조제품(기타),품목,시기:2023년
한국,국가,수출품목,속을 채운 파스타,품목,시기:2023년
한국,국가,수출품목,식물성 점질물,품목,시기:2023년
한국,국가,수출품목,조제·보존과실및견과류,품목,시기:2023년
칠레,국가,시장규모,식품시장,시기:2023년
칠레,국가,시장규모,육류시장,시기:2023년
칠레,국가,시장규모,낙농품시장,시기:2023년
칠레,국가,시장규모,채소류시장,시기:2023년
칠레,국가,1인당식품소비액,전체,시기:2023년
칠레,국가,1인당식품소비액,육류,시기:2023년
칠레,국가,1인당식품소비액,낙농품,시기:2023년
칠레,국가,1인당식품소비액,채소류,시기:2023년
칠레,국가,1인당식품소비량,전체,시기:2023년
칠레,국가,1인당식품소비량,채소류,시기:2023년
칠레,국가,1인당식품소비량,낙농품,시기:2023년
칠레,국가,1인당식품소비량,과일 및 견과류,시기:2023년
칠레,국가,시장성장률,식품시장,시기:2023년 이후
칠레,국가,시장성장률,육류시장,시기:2023년 이후
칠레,국가,시장성장률,낙농품시장,시기:2023년 이후
칠레,국가,시장성장률,채소류시장,시기:2023년 이후
칠레,국가,수출액,식품수출,시기:2023년
칠레,국가,수입액,식품수입,시기:2023년
한국,국가,수입액,칠레,국가,시기:2023년
칠레,국가,수입액,한국,국가,시기:2023년
칠레,국가,수입품목,신선·냉장 쇠고기,품목,시기:2023년
칠레,국가,수입품목,옥수수,품목,시기:2023년
칠레,국가,수입품목,대두유 추출 유박,품목,시기:2023년
칠레,국가,수입품목,밀(기타),품목,시기:2023년
칠레,국가,수입품목,사탕수수(기타),품목,시기:2023년
칠레,국가,수입품목,냉동 돼지고기,품목,시기:2023년
칠레,국가,수입품목,대두유(기타),품목,시기:2023년
칠레,국가,수입품목,조제식료품,품목,시기:2023년
칠레,국가,수입품목,감자,품목,시기:2023년
칠레,국가,수입품목,치즈(기타),품목,시기:2023년
